,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count
"('AS14.02', datetime.date(2014, 4, 4))",610.0,88,-41.0,88,31.0,88,117.7470637246841,434,119260.21400237082,3347,306.0,306,53.0,53,52695.573999999826,2886,55109.23900000006,1693,13166.536999999998,240,0.0,0,0.0,0,0.0,0,2958.6259999999997,160,10073.709999999997,352,4344.105,200,0.0,0,67.16300000000001,15,0.0,0
"('AS14.02', datetime.date(2014, 4, 5))",647.0,93,-41.0,93,34.0,93,125.47313706421671,458,132328.1400039196,3536,315.0,315,54.0,54,54651.637999999795,3065,57418.89800000007,1784,13961.020999999995,270,0.0,0,0.0,0,0.0,0,3059.5229999999992,168,10290.802999999996,362,4732.176,216,0.0,0,67.16300000000001,15,0.0,0
"('AS14.02', datetime.date(2014, 4, 6))",665.0,97,-45.0,97,29.0,97,128.91648938679035,474,135978.10800242424,3624,321.0,321,54.0,54,55229.04599999979,3127,58643.22000000007,1827,14580.000999999993,286,0.0,0,0.0,0,0.0,0,3089.533999999999,172,10723.862999999996,381,4732.176,216,0.0,0,67.16300000000001,15,0.0,0
"('AS14.02', datetime.date(2014, 4, 7))",699.0,102,-45.0,102,32.0,102,132.1930590122967,498,142222.09800076485,3780,323.0,323,54.0,54,56711.993999999766,3224,62335.01000000006,1889,15317.916999999994,295,0.0,0,0.0,0,0.0,0,3195.6819999999993,178,12732.046999999988,434,4732.176,216,0.0,0,67.16300000000001,15,0.0,0
"('AS14.02', datetime.date(2014, 4, 8))",724.0,106,-46.0,106,34.0,106,138.47988391521426,522,146423.7870001793,3944,333.0,333,55.0,55,57896.77199999974,3362,64670.254000000066,1980,15511.396999999994,302,0.0,0,0.0,0,0.0,0,3330.115999999999,188,13368.299999999985,463,4732.176,216,0.0,0,67.16300000000001,15,0.0,0
"('AS14.02', datetime.date(2014, 4, 9))",753.0,110,-48.0,110,35.0,110,144.4129202682916,546,152181.21300077438,4105,345.0,345,56.0,56,59323.79399999972,3521,66925.79900000006,2062,16138.632999999989,321,0.0,0,0.0,0,0.0,0,3391.512999999999,193,13662.620999999983,476,4732.176,216,0.0,0,67.16300000000001,15,0.0,0
"('AS14.02', datetime.date(2014, 4, 10))",782.0,114,-47.0,114,38.0,114,150.6709347605306,570,160025.4519994259,4270,346.0,346,57.0,57,60627.24599999969,3645,69652.03600000005,2155,16833.957000000002,353,0.0,0,0.0,0,0.0,0,3532.726999999999,198,14229.42799999998,510,5257.288999999999,225,0.0,0,69.20800000000001,17,0.0,0
"('AS14.02', datetime.date(2014, 4, 11))",808.0,118,-49.0,118,40.0,118,160.85848901593306,594,165835.48200058937,4472,353.0,353,58.0,58,62175.437999999675,3792,71995.82899999997,2251,17534.681000000004,382,0.0,0,0.0,0,0.0,0,3668.8549999999987,204,14549.072999999977,534,5888.218000000002,265,0.0,0,69.20800000000001,17,0.0,0
"('AS14.02', datetime.date(2014, 4, 12))",814.0,119,-51.0,119,39.0,119,169.93773061542214,618,169494.3010017872,4609,359.0,359,59.0,59,64002.10599999968,3917,73512.59599999999,2322,17534.681000000004,382,0.0,0,0.0,0,0.0,0,3679.8709999999987,205,14706.264999999976,540,6250.403000000002,285,0.0,0,76.19400000000002,19,0.0,0
"('AS14.02', datetime.date(2014, 4, 13))",850.0,124,-54.0,124,41.0,124,176.8934134542093,642,171669.1719994545,4713,360.0,360,59.0,59,64513.01899999967,3971,74367.81499999999,2365,17906.201,397,0.0,0,0.0,0,0.0,0,3758.9829999999984,210,14829.335999999976,553,6410.049000000004,303,0.0,0,76.19400000000002,19,0.0,0
