,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count
"('AS14.07', datetime.date(2014, 3, 25))",199.0,29,-11.0,29,25.0,29,1.3434490180252894,10,80655.31399583815,1161,11.0,11,13.0,13,8425.698,529,43247.80399999997,1382,9665.595999999998,51,0.0,0,0.0,0,0.0,0,1743.8649999999998,44,8189.520000000001,84,1113.9560000000001,13,428.983,11,31.218,1,0.0,0
"('AS14.07', datetime.date(2014, 3, 26))",232.0,34,-10.0,34,28.0,34,3.822498568880113,34,89844.86599588393,1307,19.0,19,17.0,17,10807.448,627,47754.23099999993,1534,10939.912999999997,54,0.0,0,0.0,0,0.0,0,1847.7839999999999,49,8860.415,92,1317.6970000000001,15,428.983,11,31.218,1,0.0,0
"('AS14.07', datetime.date(2014, 3, 27))",266.0,39,-9.0,39,30.0,39,5.975304518846305,58,99553.64499497412,1437,21.0,21,25.0,25,12752.563000000002,727,52576.52799999996,1674,11201.779999999997,55,0.0,0,0.0,0,0.0,0,1908.062,54,11112.108000000002,107,1369.4650000000001,17,428.983,11,31.218,1,0.0,0
"('AS14.07', datetime.date(2014, 3, 28))",299.0,43,-8.0,43,36.0,43,8.329700738581314,82,112537.68599653243,1523,22.0,22,25.0,25,15407.890000000007,863,57370.93899999993,1801,13364.393999999998,71,0.0,0,0.0,0,0.0,0,2139.83,58,13030.332999999999,119,2016.5580000000004,30,734.0559999999999,18,45.444,2,0.0,0
"('AS14.07', datetime.date(2014, 3, 29))",334.0,48,-7.0,48,41.0,48,9.334721223825538,106,123112.41199636458,1587,22.0,22,30.0,30,17150.83200000001,935,59303.85199999991,1857,18724.496999999996,89,0.0,0,0.0,0,0.0,0,2518.379999999999,73,14510.427999999996,137,2324.3100000000004,33,734.0559999999999,18,45.444,2,0.0,0
"('AS14.07', datetime.date(2014, 3, 30))",365.0,53,-6.0,53,41.0,53,10.773910809699176,129,131852.2039964199,1663,24.0,24,31.0,31,18893.034000000018,1019,63437.55499999991,1953,19331.578999999998,92,0.0,0,0.0,0,0.0,0,2589.4039999999986,78,15771.307999999997,148,2590.36,43,734.0559999999999,18,45.444,2,0.0,0
"('AS14.07', datetime.date(2014, 3, 31))",378.0,56,-9.0,56,41.0,56,12.00669665130855,153,145039.6499965191,1746,29.0,29,32.0,32,20559.684000000005,1120,68420.48099999999,2021,23125.99,101,0.0,0,0.0,0,0.0,0,2637.570999999999,82,18085.950999999997,159,2798.216,46,734.0559999999999,18,45.444,2,0.0,0
"('AS14.07', datetime.date(2014, 4, 1))",411.0,61,-14.0,61,45.0,61,13.944990843887236,177,159739.34999585152,1909,32.0,32,40.0,40,21822.516000000018,1217,75826.03000000004,2213,27882.236,113,0.0,0,0.0,0,0.0,0,2692.9529999999986,87,19149.945999999993,169,2798.216,46,734.0559999999999,18,45.444,2,0.0,0
"('AS14.07', datetime.date(2014, 4, 2))",433.0,65,-19.0,65,46.0,65,17.69348972112408,201,170863.47699427605,2025,45.0,45,44.0,44,25733.798,1400,79997.23200000003,2320,29605.996000000003,117,0.0,0,0.0,0,0.0,0,2797.9559999999983,91,20074.532999999992,177,3509.681,49,734.0559999999999,18,45.444,2,0.0,0
"('AS14.07', datetime.date(2014, 4, 3))",464.0,70,-21.0,70,47.0,70,19.859813164198645,225,181142.3649945259,2109,50.0,50,44.0,44,26794.363,1491,84283.98900000002,2424,33483.878,123,0.0,0,0.0,0,0.0,0,2843.3219999999988,96,20804.25799999999,186,3775.05,52,734.0559999999999,18,45.444,2,0.0,0
"('AS14.07', datetime.date(2014, 4, 4))",490.0,74,-24.0,74,47.0,74,21.05094219645671,249,191165.94399619102,2232,57.0,57,46.0,46,27642.01999999999,1569,89235.58099999998,2556,35158.74599999999,135,0.0,0,0.0,0,0.0,0,3074.865999999998,105,22116.903999999988,194,3826.2200000000003,53,884.6679999999999,19,408.873,3,0.0,0
"('AS14.07', datetime.date(2014, 4, 5))",508.0,77,-24.0,77,49.0,77,26.60230014786864,273,196543.231995821,2299,66.0,66,51.0,51,29625.926999999974,1691,90613.33499999999,2613,35527.390999999996,140,0.0,0,0.0,0,0.0,0,3194.165999999998,108,23356.08499999999,206,3975.5180000000005,56,884.6679999999999,19,408.873,3,0.0,0
"('AS14.07', datetime.date(2014, 4, 6))",535.0,81,-27.0,81,53.0,81,27.95387847150578,297,204199.83799672127,2370,68.0,68,54.0,54,30508.832999999966,1762,93395.38100000001,2689,37932.587,147,0.0,0,0.0,0,0.0,0,3304.330999999998,112,24952.380999999983,220,3975.5180000000005,56,884.6679999999999,19,409.875,4,0.0,0
"('AS14.07', datetime.date(2014, 4, 7))",562.0,86,-30.0,86,54.0,86,29.886458360442695,321,221055.8519961834,2456,68.0,68,55.0,55,32465.934999999965,1853,98945.04999999999,2824,43618.647,157,0.0,0,0.0,0,0.0,0,3537.7359999999976,119,28954.021999999983,234,3975.5180000000005,56,884.6679999999999,19,409.875,4,0.0,0
"('AS14.07', datetime.date(2014, 4, 8))",596.0,91,-32.0,91,57.0,91,31.72968286335861,345,230782.46799564362,2561,69.0,69,55.0,55,33328.977999999974,1935,106154.91499999995,2968,44419.29000000001,168,0.0,0,0.0,0,0.0,0,3715.8469999999984,126,29487.846999999983,240,3975.5180000000005,56,1299.633,30,409.875,4,0.0,0
"('AS14.07', datetime.date(2014, 4, 9))",628.0,96,-37.0,96,60.0,96,33.357857466533204,368,244513.85899496078,2644,71.0,71,57.0,57,34157.21399999997,2002,108475.86799999994,3051,45606.98300000001,172,0.0,0,0.0,0,0.0,0,3831.713999999999,132,30125.932999999983,254,3975.5180000000005,56,1299.633,30,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 10))",659.0,101,-35.0,101,60.0,101,35.7328574665332,392,250126.1899957657,2706,77.0,77,61.0,61,34947.69099999996,2075,109686.82999999991,3098,47473.79000000001,174,0.0,0,0.0,0,0.0,0,3872.862999999999,137,31815.99999999998,261,3997.6970000000006,57,1299.633,30,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 11))",666.0,103,-34.0,103,58.0,103,37.38124682227549,416,252361.395996809,2741,77.0,77,62.0,62,35356.90499999992,2121,111123.71999999988,3152,47473.79000000001,174,0.0,0,0.0,0,0.0,0,3912.973999999999,140,31906.484999999982,263,4253.098000000001,67,1299.633,30,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 12))",698.0,108,,108,,108,41.05645806379689,440,267160.8219971657,2816,79.0,79,72.0,72,36938.20399999992,2240,116485.52999999994,3256,52937.10400000001,186,0.0,0,0.0,0,0.0,0,4090.116999999999,144,33481.630999999994,275,4731.514000000002,75,1371.915,31,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 13))",724.0,112,,112,,112,41.44812473046355,464,275292.8729991913,2922,84.0,84,72.0,72,37666.859999999906,2302,119369.28399999993,3369,54491.448000000004,193,0.0,0,0.0,0,0.0,0,4132.3359999999975,149,34877.261999999995,286,4731.514000000002,75,1371.915,31,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 14))",755.0,117,,117,,117,42.24861492654197,488,280115.8469994068,2987,86.0,86,73.0,73,38528.97699999995,2358,121503.71599999991,3439,57440.391,199,0.0,0,0.0,0,0.0,0,4223.891999999998,155,35192.638999999996,290,4731.514000000002,75,1371.915,31,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 15))",779.0,121,,121,,121,42.71957503384553,512,288842.45799922943,3048,86.0,86,73.0,73,38988.60499999993,2398,126994.2779999999,3523,58677.096000000005,206,0.0,0,0.0,0,0.0,0,4296.368999999997,159,36657.24999999999,297,4731.514000000002,75,1371.915,31,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 16))",798.0,125,,125,,125,45.26251952251195,536,297845.8169994354,3194,88.0,88,81.0,81,40940.532999999945,2519,132808.0419999999,3649,58677.096000000005,206,0.0,0,0.0,0,0.0,0,4701.150999999998,169,37672.78099999999,305,4764.768000000002,76,1394.003,32,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 17))",817.0,130,,130,,130,48.09670031347239,560,305655.23599910736,3265,89.0,89,81.0,81,42182.69099999994,2575,136723.58799999987,3736,60322.705,208,0.0,0,0.0,0,0.0,0,4776.377999999999,175,38635.97099999999,313,4764.768000000002,76,1394.003,32,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 18))",843.0,135,,135,,135,49.231183072093074,584,312221.7769994736,3290,90.0,90,83.0,83,43089.29599999994,2599,140279.6079999999,3777,61331.986000000004,209,0.0,0,0.0,0,0.0,0,4919.248999999999,183,39280.33199999999,317,4764.768000000002,76,1394.003,32,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 19))",871.0,139,,139,,139,49.30619436693359,608,314272.7720000744,3328,90.0,90,83.0,83,43308.304999999935,2612,141363.92899999983,3827,61470.508,210,0.0,0,0.0,0,0.0,0,5013.992999999999,187,39665.07599999999,323,4764.768000000002,76,1394.003,32,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 20))",874.0,140,,140,,140,51.389527700266925,632,320985.79500102997,3346,90.0,90,83.0,83,43407.94899999991,2630,143445.74999999985,3861,61484.599,211,0.0,0,0.0,0,0.0,0,5024.034999999999,188,40515.228999999985,327,4764.768000000002,76,1478.35,35,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 21))",907.0,145,,145,,145,52.87237893993634,656,330204.4559996128,3405,90.0,90,83.0,83,44470.62799999992,2707,148959.9489999999,3953,63963.83600000001,217,0.0,0,0.0,0,0.0,0,5121.344999999998,194,43146.812000000005,354,5499.760000000002,79,1555.823,37,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 22))",937.0,150,,150,,150,55.05614330775243,680,335913.20799922943,3454,90.0,90,85.0,85,45524.09399999992,2757,151689.94299999985,4006,65614.58000000002,218,0.0,0,0.0,0,0.0,0,5241.685999999999,200,43265.28200000001,361,5499.760000000002,79,1555.823,37,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 23))",955.0,153,,153,,153,56.86510818423067,704,347695.8469994068,3529,95.0,95,85.0,85,46979.76799999996,2872,159475.28599999982,4131,66108.36000000002,223,0.0,0,0.0,0,0.0,0,5393.354999999999,206,44664.546,371,5581.072000000002,80,1968.451,38,415.913,5,0.0,0
"('AS14.07', datetime.date(2014, 4, 24))",983.0,158,,158,,158,60.656774850897335,728,350869.48199915886,3591,98.0,98,86.0,86,47426.45499999996,2921,163034.09799999994,4198,66108.36000000002,223,0.0,0,0.0,0,0.0,0,5560.147999999998,214,44879.267,376,5581.072000000002,80,1968.451,38,416.916,6,0.0,0
"('AS14.07', datetime.date(2014, 4, 25))",993.0,161,,161,,161,62.48177485089733,752,356313.21499943733,3665,104.0,104,86.0,86,48254.256999999954,2986,165097.69599999997,4253,67492.76000000001,225,0.0,0,0.0,0,0.0,0,5586.295999999998,217,45746.97,382,5581.072000000002,80,1968.451,38,416.916,6,0.0,0
"('AS14.07', datetime.date(2014, 4, 26))",1020.0,166,,166,,166,62.93575258857258,776,363946.90400123596,3708,104.0,104,86.0,86,49136.252999999946,3031,169903.20699999994,4309,67818.98000000001,228,0.0,0,0.0,0,0.0,0,5806.4919999999975,224,46686.158,395,5581.072000000002,80,2378.225,40,416.916,6,0.0,0
"('AS14.07', datetime.date(2014, 4, 27))",1050.0,171,,171,,171,63.25753865634914,800,373274.26600289345,3790,105.0,105,87.0,87,49711.85899999993,3079,174071.28800000012,4404,68260.74600000001,231,0.0,0,0.0,0,0.0,0,5986.194999999997,229,48519.40800000001,402,5581.072000000002,80,2431.735,41,416.916,6,0.0,0
"('AS14.07', datetime.date(2014, 4, 28))",1077.0,175,,175,,175,65.5252907571895,824,387631.04800629616,4001,114.0,114,90.0,90,53141.10199999985,3324,182117.1280000002,4616,69455.37100000001,242,0.0,0,0.0,0,0.0,0,6319.367999999997,238,50159.534000000014,429,5582.076000000002,81,2718.7110000000002,53,424.126,9,0.0,0
"('AS14.07', datetime.date(2014, 4, 29))",1082.0,176,,176,,176,68.75660870132828,848,394280.5600066185,4103,115.0,115,99.0,99,55937.49299999988,3506,188285.9860000002,4743,70387.19600000001,245,0.0,0,14.065,1,0.0,0,6361.969999999997,244,51031.70300000001,444,5582.076000000002,81,2903.5730000000003,56,424.126,9,0.0,0
"('AS14.07', datetime.date(2014, 4, 30))",1092.0,178,,178,,178,69.33615875291521,872,401478.2080075741,4198,115.0,115,99.0,99,-24430.437000000107,3610,198607.68000000014,4888,71824.09300000002,249,0.0,0,14.065,1,0.0,0,7192.904999999997,246,51450.53900000001,450,5582.076000000002,81,3110.4850000000006,61,424.126,9,0.0,0
"('AS14.07', datetime.date(2014, 5, 1))",1107.0,181,,181,,181,71.82218739699128,896,406919.2660083771,4234,115.0,115,99.0,99,-23955.558000000114,3651,202718.89700000017,4941,72256.56700000001,252,0.0,0,14.065,1,0.0,0,7225.094999999997,249,52267.560000000005,457,5582.076000000002,81,3209.0000000000005,63,424.126,9,0.0,0
"('AS14.07', datetime.date(2014, 5, 2))",1138.0,186,,186,,186,73.2406988098209,920,412880.42300748825,4299,115.0,115,99.0,99,-21991.468000000117,3697,208813.33600000018,5008,72423.25400000002,253,0.0,0,14.065,1,0.0,0,7652.133999999997,255,53095.813,469,5582.076000000002,81,3321.0950000000003,65,424.126,9,0.0,0
"('AS14.07', datetime.date(2014, 5, 3))",1155.0,189,,189,,189,75.05736547648758,944,414678.2330071926,4323,116.0,116,99.0,99,-21701.412000000117,3724,209107.4430000002,5028,72726.83200000001,255,0.0,0,14.065,1,0.0,0,7689.508999999997,259,53967.813,477,5582.076000000002,81,3321.0950000000003,65,424.126,9,0.0,0
"('AS14.07', datetime.date(2014, 5, 4))",1163.0,190,,190,,190,75.71569880982092,952,416879.9500076771,4343,116.0,116,99.0,99,-21171.97900000012,3753,211267.55000000022,5050,72880.22000000002,258,0.0,0,14.065,1,0.0,0,7698.593999999997,260,54219.388,482,5582.076000000002,81,3321.0950000000003,65,424.126,9,0.0,0
"('AS14.07', datetime.date(2014, 5, 5))",1174.0,192,,192,,192,75.71569880982092,952,416879.9500076771,4343,116.0,116,99.0,99,-21171.97900000012,3753,211267.55000000022,5050,72880.22000000002,258,0.0,0,14.065,1,0.0,0,7698.593999999997,260,54219.388,482,5582.076000000002,81,3321.0950000000003,65,424.126,9,0.0,0
"('AS14.07', datetime.date(2014, 3, 18))",0.0,0,0.0,0,0.0,0,0.0,0,1183.394000053406,2,3.0,3,1.0,1,443.708,40,1270.5750000000003,23,1492.7169999999999,5,0.0,0,0.0,0,0.0,0,172.09900000000002,6,220.986,2,0.0,0,59.391,1,0.0,0,0.0,0
"('AS14.07', datetime.date(2014, 3, 17))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.08', datetime.date(2014, 3, 5))",19.0,3,0.0,3,1.0,3,0.0,0,0.0,0,1.0,1,17.0,17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.08', datetime.date(2014, 3, 6))",55.0,8,-3.0,8,4.0,8,0.0,0,0.0,0,1.0,1,30.0,30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.08', datetime.date(2014, 3, 7))",92.0,13,0.0,13,10.0,13,0.0,0,0.0,0,1.0,1,33.0,33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.08', datetime.date(2014, 3, 8))",127.0,18,0.0,18,15.0,18,0.0,0,0.0,0,1.0,1,33.0,33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.08', datetime.date(2014, 3, 9))",163.0,23,-5.0,23,21.0,23,0.0,0,0.0,0,1.0,1,33.0,33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.08', datetime.date(2014, 3, 10))",197.0,28,-10.0,28,24.0,28,0.0,0,0.0,0,1.0,1,37.0,37,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.08', datetime.date(2014, 3, 11))",230.0,33,-8.0,33,26.0,33,0.0,0,0.0,0,1.0,1,40.0,40,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.08', datetime.date(2014, 3, 12))",265.0,38,-5.0,38,31.0,38,0.0,0,0.0,0,1.0,1,40.0,40,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.08', datetime.date(2014, 3, 13))",298.0,43,-5.0,43,34.0,43,0.0,0,825.9980003833764,15,1.0,1,51.0,51,169.21199999999996,12,287.188,6,0.0,0,0.0,0,0.0,0,0.0,0,208.855,8,200.95100000000002,6,0.0,0,0.0,0,13.062,1,0.0,0
"('AS14.08', datetime.date(2014, 3, 14))",335.0,48,-6.0,48,40.0,48,0.0,0,4203.380001068115,62,1.0,1,62.0,62,761.945,41,669.957,31,0.0,0,0.0,0,0.0,0,0.0,0,251.11300000000003,13,1062.458,34,1277.345,11,180.24699999999999,7,33.171,4,0.0,0
"('AS14.08', datetime.date(2014, 3, 15))",367.0,53,-9.0,53,43.0,53,0.0,0,5404.192001342773,81,1.0,1,65.0,65,830.401,51,1052.1609999999998,54,77.59,2,0.0,0,0.0,0,17.086,1,322.838,19,1644.1460000000002,50,1277.345,11,180.24699999999999,7,33.171,4,0.0,0
"('AS14.08', datetime.date(2014, 3, 16))",395.0,57,-14.0,57,48.0,57,0.0,0,7844.295001268387,97,1.0,1,65.0,65,979.631,56,2805.6229999999996,71,77.59,2,0.0,0,0.0,0,17.086,1,379.11300000000006,27,2113.5510000000004,60,1277.345,11,180.24699999999999,7,44.29,5,0.0,0
"('AS14.08', datetime.date(2014, 3, 17))",422.0,62,-14.0,62,49.0,62,0.0333333333333333,6,9262.984001398087,125,1.0,1,65.0,65,1036.215,70,8568.639,99,77.59,2,0.0,0,0.0,0,17.086,1,447.5080000000001,37,9087.485,74,1277.345,11,180.24699999999999,7,44.29,5,0.0,0
"('AS14.08', datetime.date(2014, 3, 18))",454.0,67,-15.0,67,52.0,67,0.7171260160998423,30,10581.154000997543,147,1.0,1,65.0,65,1042.135,72,9285.535000000005,124,220.38000000000002,5,0.0,0,0.0,0,17.086,1,494.6450000000001,44,9490.921999999999,90,1277.345,11,180.24699999999999,7,44.29,5,0.0,0
"('AS14.08', datetime.date(2014, 3, 19))",489.0,72,-16.0,72,57.0,72,2.229537933403559,54,12408.614000082016,180,2.0,2,65.0,65,1091.9720000000004,82,10297.245000000004,157,246.85100000000003,9,0.0,0,0.0,0,17.086,1,559.0070000000001,52,10146.158999999998,99,1277.345,11,180.24699999999999,7,62.486,7,0.0,0
"('AS14.08', datetime.date(2014, 3, 20))",521.0,77,-17.0,77,61.0,77,3.610110997624973,78,13505.163999557495,207,2.0,2,66.0,66,5954.853,93,10576.685000000001,174,246.85100000000003,9,0.0,0,0.0,0,17.086,1,607.0169999999999,59,10815.484999999999,112,1277.345,11,180.24699999999999,7,62.486,7,0.0,0
"('AS14.08', datetime.date(2014, 3, 21))",554.0,82,-19.0,82,64.0,82,3.8247262543766367,102,16363.088999271393,268,2.0,2,70.0,70,6170.717,105,13054.105000000005,226,246.85100000000003,9,0.0,0,0.0,0,17.086,1,659.1979999999999,66,11900.668,156,1277.345,11,180.24699999999999,7,110.80199999999999,10,0.0,0
"('AS14.08', datetime.date(2014, 3, 22))",586.0,87,-21.0,87,68.0,87,4.358281161233024,126,17229.6829996109,289,2.0,2,70.0,70,6181.273999999999,108,17383.127000000004,251,246.85100000000003,9,0.0,0,0.0,0,17.086,1,702.355,73,12353.425,168,1367.2830000000001,12,180.24699999999999,7,126.877,11,0.0,0
"('AS14.08', datetime.date(2014, 3, 23))",622.0,92,-22.0,92,72.0,92,5.3707169705524755,150,18604.263999938965,327,4.0,4,70.0,70,6267.472999999999,125,17755.44400000001,267,246.85100000000003,9,0.0,0,0.0,0,17.086,1,4767.493,83,13966.359999999999,190,1690.5240000000001,20,180.24699999999999,7,209.328,15,0.0,0
"('AS14.08', datetime.date(2014, 3, 24))",656.0,97,-26.0,97,77.0,97,6.482106876856355,174,20572.256999731064,360,4.0,4,70.0,70,6281.899999999999,131,17949.499000000018,278,246.85100000000003,9,0.0,0,0.0,0,17.086,1,4819.516,90,15666.571999999996,228,1690.5240000000001,20,180.24699999999999,7,220.391,17,0.0,0
"('AS14.08', datetime.date(2014, 3, 25))",692.0,102,-29.0,102,82.0,102,6.887650761076709,198,21298.539999723434,386,4.0,4,71.0,71,6355.503999999999,135,19419.455000000016,293,335.97100000000006,11,0.0,0,0.0,0,17.086,1,4866.451999999998,98,16107.902999999995,245,1690.5240000000001,20,180.24699999999999,7,220.391,17,0.0,0
"('AS14.08', datetime.date(2014, 3, 26))",718.0,106,-30.0,106,84.0,106,8.94618280280547,221,23116.991000652313,435,4.0,4,76.0,76,6686.350000000001,164,20314.466000000015,347,448.37000000000006,12,0.0,0,0.0,0,178.58499999999998,2,4912.4299999999985,104,16521.576999999997,259,1690.5240000000001,20,180.24699999999999,7,231.42,18,0.0,0
"('AS14.08', datetime.date(2014, 3, 27))",756.0,112,-30.0,112,87.0,112,11.034458835460716,245,25600.27300095558,475,4.0,4,82.0,82,6814.534999999999,188,22291.25400000002,388,448.37000000000006,12,0.0,0,0.0,0,178.58499999999998,2,4969.416999999998,111,18666.58899999999,282,1690.5240000000001,20,538.9209999999999,8,255.47,20,0.0,0
"('AS14.08', datetime.date(2014, 3, 28))",781.0,116,-31.0,116,89.0,116,11.431893124567443,269,27536.93100118637,533,5.0,5,94.0,94,7648.9429999999975,226,23250.510000000013,435,448.37000000000006,12,0.0,0,0.0,0,178.58499999999998,2,5021.444999999998,118,19372.989999999983,305,1690.5240000000001,20,706.4549999999998,18,255.47,20,0.0,0
"('AS14.08', datetime.date(2014, 3, 29))",824.0,122,-32.0,122,95.0,122,12.030552019625933,293,28728.760001897812,557,5.0,5,96.0,96,7695.737999999998,232,23786.678000000007,459,513.2590000000001,16,0.0,0,0.0,0,178.58499999999998,2,5082.639999999997,127,19818.49099999998,318,1690.5240000000001,20,706.4549999999998,18,255.47,20,0.0,0
"('AS14.08', datetime.date(2014, 3, 30))",858.0,127,-32.0,127,98.0,127,13.834834818071185,316,29508.653000831604,577,5.0,5,96.0,96,7705.663999999997,234,24005.593000000008,483,513.2590000000001,16,0.0,0,0.0,0,178.58499999999998,2,5125.721999999997,133,20325.045999999984,328,1690.5240000000001,20,706.4549999999998,18,255.47,20,0.0,0
"('AS14.08', datetime.date(2014, 3, 31))",896.0,132,-32.0,132,104.0,132,15.729266461696376,340,31179.19400048256,617,5.0,5,96.0,96,7708.711999999997,235,25235.915999999994,540,533.4430000000001,19,0.0,0,0.0,0,178.58499999999998,2,5176.387999999998,139,20782.46799999999,350,1690.5240000000001,20,706.4549999999998,18,269.505,21,0.0,0
"('AS14.08', datetime.date(2014, 4, 1))",932.0,137,-37.0,137,109.0,137,17.163405117158558,363,33253.61300110817,649,5.0,5,96.0,96,7736.916999999996,243,26859.505999999987,581,625.5480000000001,27,0.0,0,0.0,0,178.58499999999998,2,5236.176999999998,148,21756.78499999999,365,1690.5240000000001,20,706.4549999999998,18,272.51,22,0.0,0
"('AS14.08', datetime.date(2014, 4, 2))",965.0,142,-39.0,142,113.0,142,17.27945878018995,377,33950.423001766205,666,5.0,5,96.0,96,7770.780999999996,245,28669.34799999998,601,644.7020000000001,28,0.0,0,0.0,0,178.58499999999998,2,5287.910999999999,157,21964.970999999994,376,1690.5240000000001,20,706.4549999999998,18,292.656,23,0.0,0
"('AS14.08', datetime.date(2014, 4, 3))",986.0,145,-39.0,145,117.0,145,19.169888035485076,401,36788.04100060463,733,5.0,5,96.0,96,7807.247999999999,255,31034.259,680,644.7020000000001,28,0.0,0,0.0,0,178.58499999999998,2,5395.069,172,22723.826999999987,403,1690.5240000000001,20,706.4549999999998,18,343.233,26,0.0,0
"('AS14.08', datetime.date(2014, 4, 4))",1016.0,149,-38.0,149,122.0,149,19.91686337757964,425,38053.54900145531,767,7.0,7,96.0,96,7975.544999999998,270,31897.731,702,644.7020000000001,28,0.0,0,0.0,0,178.58499999999998,2,5429.544000000001,178,24367.28199999999,431,1690.5240000000001,20,706.4549999999998,18,352.298,27,0.0,0
"('AS14.08', datetime.date(2014, 4, 5))",1053.0,154,-37.0,154,128.0,154,22.99880277151904,449,39788.99700140953,796,7.0,7,96.0,96,7984.184999999999,274,32849.54200000001,734,721.6100000000001,29,0.0,0,0.0,0,178.58499999999998,2,5476.205999999999,185,25000.802999999985,452,1690.5240000000001,20,706.4549999999998,18,369.35499999999996,29,0.0,0
"('AS14.08', datetime.date(2014, 4, 6))",1091.0,159,,159,,159,23.173528418450346,473,41085.00500178337,815,7.0,7,96.0,96,8053.289999999998,278,33181.50400000001,753,732.6420000000002,31,0.0,0,0.0,0,178.58499999999998,2,5510.602,190,25533.619999999977,470,1690.5240000000001,20,706.4549999999998,18,380.40999999999997,30,0.0,0
"('AS14.08', datetime.date(2014, 4, 7))",1126.0,164,,164,,164,25.632883629533957,497,45527.05900025368,891,8.0,8,102.0,102,8418.792,312,35560.772000000004,811,1101.0380000000002,34,0.0,0,0.0,0,178.58499999999998,2,5580.081999999999,203,26782.105999999967,514,1690.5240000000001,20,713.4829999999998,19,380.40999999999997,30,0.0,0
"('AS14.08', datetime.date(2014, 4, 8))",1152.0,168,,168,,168,27.028442643005217,521,48091.54600119591,957,8.0,8,102.0,102,8486.655999999994,334,37133.046,878,1194.2050000000002,36,0.0,0,0.0,0,178.58499999999998,2,5636.736,211,27861.03599999997,556,1690.5240000000001,20,713.4829999999998,19,411.60699999999997,32,0.0,0
"('AS14.08', datetime.date(2014, 4, 9))",1177.0,172,,172,,172,27.916500494244882,543,50495.94600152969,991,8.0,8,102.0,102,8599.319999999992,343,38903.188000000024,914,1194.2050000000002,36,0.0,0,0.0,0,178.58499999999998,2,9250.497000000001,216,29851.796999999962,573,1690.5240000000001,20,713.4829999999998,19,417.623,33,0.0,0
"('AS14.08', datetime.date(2014, 4, 10))",1215.0,177,,177,,177,32.874258800070585,567,54856.701001405716,1066,8.0,8,102.0,102,8689.625999999993,362,42064.93100000002,991,1424.931,37,0.0,0,0.0,0,178.58499999999998,2,9333.028,221,30729.069999999967,628,1690.5240000000001,20,713.4829999999998,19,465.20599999999996,36,0.0,0
