date_time,participant_id,batch,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count,sum_of_counts
2014-04-06,AS14.01,0,6.5,4,-0.75,4,0.5,4,0.0644077994424681,24,7467.321999788283,91,4.0,4,0.0,0,3527.589928210135,134,3355.7430000000013,70,187.214,2,0.0,0,114.406,2,0.0,0,119.12,6,321.46,5,0.0,0,0.0,0,46.249,5,0.0,0,355
2014-04-07,AS14.01,0,6.5,4,-0.6666666666666666,3,0.25,4,0.0506706211743178,24,9846.380999803543,122,1.0,1,0.0,0,927.3769999999998,131,7355.015000000001,129,447.121,6,46.128,5,0.0,0,17.107,1,170.34799999999998,8,1475.418,24,60.247,1,0.0,0,205.81100000000004,4,0.0,0,467
2014-04-08,AS14.01,0,6.6,5,-0.4,5,0.3333333333333333,3,0.0753270582613484,24,15101.13200187683,212,1.0,1,0.0,0,892.6889999999997,157,7486.495945986718,193,3466.4789999999994,21,19.131,3,0.0,0,0.0,0,209.51399999999995,7,2655.121,45,0.0,0,0.0,0,36.143,2,0.0,0,678
2014-04-09,AS14.01,0,7.4,5,-0.8,5,1.0,4,0.1203841145323287,24,13558.289000988008,201,4.0,4,0.0,0,1638.6170000000004,171,6177.075999999999,162,940.77,12,0.0,0,0.0,0,0.0,0,346.654,8,2826.3500000000004,64,0.0,0,0.0,0,577.359,5,0.0,0,665
2014-04-10,AS14.01,0,7.4,5,-0.4,5,0.8,5,0.078963105194891,24,9296.098999261858,92,7.0,7,0.0,0,715.3549999999997,107,4881.411,75,1858.8930000000005,12,0.0,0,1.059,1,23.195,1,107.919,8,1174.7170000000003,30,0.0,0,0.0,0,377.687,15,0.0,0,387
2014-04-11,AS14.01,0,7.0,5,-1.2,5,0.8,5,0.0799862020730605,24,7437.602821231969,123,0.0,0,0.0,0,1762.531928210136,140,3336.5920000000015,121,1976.138,16,94.093,6,0.0,0,0.0,0,51.452,6,596.807,13,34.234,1,0.0,0,214.648,9,0.0,0,474
2014-04-12,AS14.01,0,7.25,4,-0.75,4,0.75,4,0.0722490614703181,24,5091.359822155124,47,0.0,0,0.0,0,302.44599999999986,54,2101.8479459867185,46,2186.482,12,0.0,0,0.0,0,0.0,0,79.033,7,264.432,6,5.031,1,0.0,0,352.39199999999994,25,0.0,0,234
2014-04-13,AS14.01,0,8.0,4,-1.25,4,1.0,4,0.0140213289543707,24,2005.7509992122657,35,0.0,0,0.0,0,447.415,71,1096.7949999999996,23,249.392,4,82.413,9,0.0,0,0.0,0,94.209,11,34.501999999999995,2,0.0,0,0.0,0,0.0,0,0.0,0,191
2014-04-14,AS14.01,0,7.2,5,-1.2,5,0.6,5,0.0838873144698841,24,11734.27364135005,130,1.0,1,1.0,1,961.581,176,6486.2840000000015,126,6265.556,29,89.32300000000001,6,0.0,0,0.0,0,145.09600000000003,12,2921.985,18,29.104,2,0.0,0,986.014,29,0.0,0,569
2014-04-15,AS14.01,0,6.4,5,0.0,5,0.8,5,0.0901121527807252,24,11391.526819349425,134,8.0,8,1.0,1,1596.3559999999995,237,6224.230999999999,153,944.5220000000002,19,13.043,3,0.0,0,0.0,0,110.415,6,4428.210000000001,44,8.363,1,0.0,0,279.79299999999995,14,0.0,0,659
