,batch,mood,circumplex.arousal,circumplex.valence,mood_count,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,sum_of_counts
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,0.0029296875,7.030957031250001,-0.12819010416666665,0.7218424479166667,4.3828125,0.11486167782688682,5437.375346566862,2.244140625,0.7890625,909.216067824168,2592.1509124800796,773.1805438610907,16.656126953125,94.242736328125,84.87535985531638,171.15715625,1228.9665818652502,91.0938719363957,33.01159375,32.540357421875,4.746487304687499,308.1708984375
std,0.05407365218573471,0.7060394370357534,0.6602959050240573,0.41724633711544107,1.195436704705026,0.09659349062656447,3935.33739987685,3.2484246642587564,1.8242521466146484,885.915016948519,2380.804423549953,1253.7506316941565,78.6553916480952,547.3734727508776,386.7247152943998,410.52782984883487,1770.3809789035336,252.48995549604058,164.22618639836685,122.60686176048958,22.430463930526404,176.49352374111263
min,0.0,3.5,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,0.0,6.6,-0.6,0.5,4.0,0.05087879465071887,2379.178000092506,0.0,0.0,237.24248205253403,801.5801824833984,0.0,0.0,0.0,0.0,40.427249999999994,34.53375,0.0,0.0,0.0,0.0,178.0
50%,0.0,7.0,0.0,0.8,5.0,0.09412855656457694,4865.922501087189,1.0,0.0,668.4724999999997,1974.2285000000002,206.7695,0.0,0.0,0.0,59.1965,529.124,0.0,0.0,0.0,0.0,301.0
75%,0.0,7.5,0.25,1.0,5.0,0.144065603453348,7881.714848133373,3.0,1.0,1287.5280000000002,3685.749500000001,1029.8500000000001,0.0,0.0,0.0,122.6,1850.624,70.38624999999999,0.0,11.18725,0.0,417.25
max,1.0,9.333333333333334,2.0,2.0,6.0,0.5661706349206349,19381.913999557495,31.0,17.0,5753.343999999998,14438.081999999997,13265.386,1321.1039999999996,12996.495,5916.104,4335.307,26909.386999999988,2862.4150000000004,2821.547,1800.1179999999997,366.937,1004.0
